distance,confidence,lat,lon
6684,30,33.7095186,-118.2586381
6370,75,33.7095215,-118.258632
6499,100,33.7095229,-118.2586272
6476,100,33.709524,-118.2586216
6467,100,33.7095238,-118.2586156
6535,100,33.7095243,-118.2586126
6463,100,33.7095243,-118.2586171
6466,100,33.7095215,-118.2586239
6498,100,33.7095166,-118.2586312
6501,100,33.7095088,-118.2586333
6509,100,33.7095026,-118.2586357
6404,100,33.7094952,-118.2586376
6474,100,33.7094896,-118.2586382
6443,100,33.709481,-118.2586413
6542,100,33.7094706,-118.2586399
6542,100,33.7094623,-118.2586414
6648,100,33.7094509,-118.2586414
6551,100,33.70944,-118.2586408
6511,100,33.7094323,-118.2586412
6475,100,33.7094223,-118.2586437
6428,100,33.7094137,-118.2586441
6419,100,33.7094026,-118.2586451
6318,100,33.7093912,-118.2586445
6464,100,33.7093823,-118.2586452
6426,100,33.7093717,-118.258646
6507,100,33.7093629,-118.2586473
6553,100,33.7093529,-118.2586473
6597,100,33.7093432,-118.2586496
6472,100,33.7093339,-118.2586494
6422,100,33.7093239,-118.2586509
6483,100,33.7093123,-118.258652
6381,100,33.7093047,-118.2586515
6517,100,33.7092945,-118.258652
6415,100,33.7092854,-118.2586516
6601,100,33.7092748,-118.2586538
6430,100,33.7092636,-118.2586562
6529,100,33.7092556,-118.2586566
6545,100,33.7092455,-118.2586583
6450,100,33.7092348,-118.2586592
6395,100,33.7092263,-118.2586593
6555,100,33.7092163,-118.2586609
6518,100,33.7092076,-118.2586623
6513,100,33.709197,-118.2586655
6403,100,33.7091874,-118.2586647
6551,100,33.7091795,-118.2586673
6541,100,33.7091701,-118.2586675
6533,100,33.7091617,-118.2586694
6557,100,33.7091522,-118.2586694
6723,100,33.7091419,-118.2586704
6546,100,33.709136,-118.2586699
6522,100,33.7091264,-118.2586712
6567,100,33.7091156,-118.2586747
6620,100,33.7091069,-118.258676
6480,100,33.7090973,-118.2586782
6566,100,33.7090904,-118.2586774
6691,100,33.7090787,-118.2586812
6658,100,33.7090698,-118.2586827
6608,100,33.7090632,-118.2586826
6652,100,33.7090532,-118.2586844
6703,100,33.7090452,-118.2586861
6657,100,33.7090363,-118.2586864
6644,100,33.7090263,-118.2586901
6685,100,33.7090179,-118.2586935
6699,100,33.7090094,-118.2586944
6719,100,33.7090018,-118.258697
6660,100,33.7089927,-118.2586985
6774,100,33.7089827,-118.2587014
6653,100,33.7089754,-118.2587017
6716,100,33.708968,-118.2587044
6744,100,33.7089597,-118.2587044
6814,100,33.7089521,-118.2587066
6850,100,33.7089436,-118.2587128
6683,100,33.7089368,-118.2587201
6788,100,33.7089341,-118.2587301
6717,100,33.7089307,-118.2587426
6709,100,33.708927,-118.2587508
6684,100,33.7089203,-118.2587603
6755,100,33.7089153,-118.2587689
6863,100,33.7089082,-118.2587784
6703,100,33.7089024,-118.2587895
6705,100,33.7088987,-118.2587968
6756,100,33.7088924,-118.2588053
6836,100,33.7088853,-118.258815
6788,100,33.7088792,-118.2588211
6699,100,33.7088722,-118.2588282
6763,100,33.7088684,-118.2588386
6735,100,33.7088629,-118.2588499
6701,100,33.7088556,-118.2588592
6642,100,33.708851,-118.2588662
6634,100,33.7088449,-118.2588755
6640,100,33.7088387,-118.258883
6550,100,33.7088309,-118.258889
6594,100,33.7088254,-118.2588951
6712,100,33.7088233,-118.2589039
6565,100,33.7088196,-118.2589144
6593,100,33.7088137,-118.2589214
6549,100,33.7088086,-118.258928
6612,100,33.7088017,-118.2589371
6695,100,33.7087951,-118.258949
6650,100,33.708788,-118.2589575
6622,100,33.7087813,-118.2589663
6644,100,33.7087755,-118.2589719
6597,100,33.7087701,-118.2589823
6521,100,33.7087633,-118.2589898
6566,100,33.7087585,-118.2589977
6363,100,33.7087534,-118.259006
6519,100,33.7087477,-118.2590125
6416,100,33.7087414,-118.2590217
6463,100,33.7087363,-118.2590302
6662,100,33.7087317,-118.2590379
6533,100,33.7087257,-118.2590475
6582,100,33.7087199,-118.2590582
6518,100,33.7087139,-118.2590649
6563,100,33.7087084,-118.2590755
6630,100,33.7087032,-118.2590835
6575,100,33.7086959,-118.2590901
6507,100,33.7086907,-118.2590966
6472,100,33.7086858,-118.2591039
6557,100,33.7086818,-118.2591137
6456,100,33.7086765,-118.2591207
6416,100,33.7086698,-118.2591285
6442,100,33.7086656,-118.2591365
6604,100,33.70866,-118.259142
6571,100,33.7086533,-118.2591506
6598,100,33.7086476,-118.2591588
6700,100,33.7086402,-118.2591657
6711,100,33.7086342,-118.2591781
6727,100,33.7086302,-118.2591865
6752,100,33.7086237,-118.2591956
6869,100,33.708618,-118.2592055
6845,100,33.7086116,-118.2592125
6681,100,33.7086051,-118.2592219
6684,100,33.7085994,-118.2592271
6600,100,33.7085905,-118.2592358
6601,100,33.7085855,-118.2592436
6612,100,33.7085821,-118.259251
6596,100,33.708578,-118.2592609
6828,100,33.7085735,-118.2592689
6846,100,33.7085667,-118.2592799
6798,100,33.7085604,-118.2592903
6822,100,33.7085539,-118.2592961
6772,100,33.7085464,-118.2593057
6732,100,33.708541,-118.2593128
6786,95,33.7085338,-118.2593215
6575,100,33.708528,-118.2593311
6513,100,33.708523,-118.2593378
6134,100,33.7085172,-118.2593491
5904,100,33.7085127,-118.2593568
5957,100,33.7085103,-118.2593609
5878,100,33.7085093,-118.2593646
5889,100,33.7085069,-118.2593661
5796,100,33.7085051,-118.2593661
5909,100,33.7085017,-118.2593645
5854,100,33.7084984,-118.2593594
5697,100,33.7084981,-118.2593443
6156,100,33.7085039,-118.2593271
6340,100,33.7085101,-118.2593166
6729,100,33.7085184,-118.2593012
6626,100,33.7085259,-118.2592906
6744,100,33.7085332,-118.2592751
6617,100,33.7085385,-118.2592598
6680,100,33.7085431,-118.2592468
6616,100,33.7085473,-118.2592315
6744,100,33.7085527,-118.2592134
6641,100,33.7085551,-118.2592002
6661,100,33.7085605,-118.259183
